time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
08:00,1,0,0,0,3,(0 0 0),0,0,0,"$0,00"
08:00,1,0,0,1,3,(0 0 1),0,0,1,"$0,00"
08:00,1,0,1,0,3,(0 1 0),0,1,0,"$2,73"
08:00,1,0,1,1,3,(0 1 1),0,1,1,"$2,73"
08:00,1,0,2,0,3,(0 2 0),0,2,0,"$5,46"
08:00,1,0,2,1,3,(0 2 1),0,2,1,"$5,46"
08:00,1,0,3,0,3,(0 3 0),0,3,0,"$8,18"
08:00,1,0,3,1,3,(0 2 1),0,2,1,"$10,91"
08:00,1,1,0,0,3,(1 0 0),1,0,0,"$2,73"
08:00,1,1,0,1,3,(1 0 1),1,0,1,"$2,73"
08:00,1,1,1,0,3,(1 1 0),1,1,0,"$5,46"
08:00,1,1,1,1,3,(1 1 1),1,1,1,"$5,46"
08:00,1,1,2,0,3,(1 2 0),1,2,0,"$8,18"
08:00,1,1,2,1,3,(0 2 1;1 1 1),0,2,1,"$10,91"
08:00,1,1,3,0,3,(0 3 0;1 2 0),0,3,0,"$13,64"
08:00,1,1,3,1,3,(0 2 1;1 1 1),0,2,1,"$16,37"
08:15,2,0,0,0,2,(0 0 0),0,0,0,"$0,00"
08:15,2,0,0,1,2,(0 0 1),0,0,1,"$0,00"
08:15,2,0,1,0,2,(0 1 0),0,1,0,"$5,46"
08:15,2,0,1,1,2,(0 1 1),0,1,1,"$5,46"
08:15,2,0,2,0,2,(0 2 0),0,2,0,"$10,91"
08:15,2,0,2,1,2,(0 1 1),0,1,1,"$13,64"
08:15,2,0,3,0,2,(0 2 0),0,2,0,"$19,10"
08:15,2,0,3,1,2,(0 1 1),0,1,1,"$21,82"
08:15,2,0,4,0,2,(0 2 0),0,2,0,"$27,28"
08:15,2,0,4,1,2,(0 1 1),0,1,1,"$30,01"
08:15,2,0,5,0,2,(0 2 0),0,2,0,"$35,47"
08:15,2,0,5,1,2,(0 1 1),0,1,1,"$40,92"
08:15,2,1,0,0,2,(1 0 0),1,0,0,"$5,46"
08:15,2,1,0,1,2,(1 0 1),1,0,1,"$5,46"
08:15,2,1,1,0,2,(1 1 0),1,1,0,"$10,91"
08:15,2,1,1,1,2,(0 1 1;1 0 1),0,1,1,"$13,64"
08:15,2,1,2,0,2,(0 2 0;1 1 0),0,2,0,"$19,10"
08:15,2,1,2,1,2,(0 1 1;1 0 1),0,1,1,"$21,82"
08:15,2,1,3,0,2,(0 2 0;1 1 0),0,2,0,"$27,28"
08:15,2,1,3,1,2,(0 1 1;1 0 1),1,0,1,"$30,01"
08:15,2,1,4,0,2,(0 2 0;1 1 0),1,1,0,"$35,47"
08:15,2,1,4,1,2,(0 1 1;1 0 1),0,1,1,"$40,92"
08:15,2,2,0,0,2,(2 0 0),2,0,0,"$10,91"
08:15,2,2,0,1,2,(1 0 1),1,0,1,"$13,64"
08:15,2,2,1,0,2,(1 1 0;2 0 0),1,1,0,"$19,10"
08:15,2,2,1,1,2,(0 1 1;1 0 1),0,1,1,"$21,82"
08:15,2,2,2,0,2,(0 2 0;1 1 0;2 0 0),0,2,0,"$27,28"
08:15,2,2,2,1,2,(0 1 1;1 0 1),0,1,1,"$30,01"
08:15,2,2,3,0,2,(0 2 0;1 1 0;2 0 0),2,0,0,"$35,47"
08:15,2,2,3,1,2,(0 1 1;1 0 1),1,0,1,"$40,92"
08:30,3,0,0,0,3,(0 0 0),0,0,0,"$0,00"
08:30,3,0,0,1,3,(0 0 1),0,0,1,"$0,00"
08:30,3,0,1,0,3,(0 1 0),0,1,0,"$8,18"
08:30,3,0,1,1,3,(0 1 1),0,1,1,"$8,18"
08:30,3,0,2,0,3,(0 2 0),0,2,0,"$16,37"
08:30,3,0,2,1,3,(0 2 1),0,2,1,"$16,37"
08:30,3,0,3,0,3,(0 3 0),0,3,0,"$24,55"
08:30,3,0,3,1,3,(0 2 1),0,2,1,"$27,28"
08:30,3,0,4,0,3,(0 3 0),0,3,0,"$35,47"
08:30,3,0,4,1,3,(0 2 1),0,2,1,"$38,19"
